74;Bosnia and Herzegovina;7b;75.7;4.7;44.5;2.74;42.4;3760000;8690;86
75;Romania;7b;74.0;4.9;44.9;2.84;42.2;21438000;14524;50
76;Australia;2a;81.9;7.4;65.5;6.68;42.0;22299000;38160;10
77;Iran;3b;73.0;4.8;43.5;2.66;41.7;73973000;11570;136
78;Haiti;1a;62.1;3.8;32.2;0.60;41.3;9993000;1111;133
79;Serbia;7b;74.5;4.5;42.6;2.57;41.3;7291000;11349;64
80;Azerbaijan;7a;70.7;4.2;39.1;1.97;40.9;9054000;9936;114
81;Libya;3a;74.8;4.9;45.4;3.19;40.8;6355000;16987;130
82;Croatia;7b;76.6;5.6;50.5;4.19;40.6;4418000;19543;44
83;Greece;2e;79.9;5.8;54.2;4.92;40.5;11316000;28408;45
84;Malaysia;6c;74.2;5.6;48.8;3.90;40.5;28401000;14731;46
85;Cambodia;6c;63.1;4.2;34.6;1.19;40.3;14139000;2194;115
86;Ghana;4c;64.2;4.6;37.4;1.74;40.3;24392000;1644;55
87;Slovenia;7b;79.3;6.1;55.3;5.21;40.2;2049000;26925;28
88;Iceland;2d;81.8;6.9;62.1;6.54;40.2;318000;35642;16
89;Slovakia;7b;75.4;6.1;52.4;4.66;40.1;5430000;23303;32
90;Singapore;6b;81.1;6.5;59.4;6.10;39.8;5077000;57932;12
91;Egypt;3a;73.2;3.9;38.5;2.06;39.6;81121000;6180;98
92;Czech Republic;7b;77.7;6.2;54.6;5.27;39.4;10520000;24518;27
93;Uruguay;1c;77.0;6.1;53.6;5.08;39.3;3357000;14108;30
94;Ethiopia;4b;59.3;4.4;33.5;1.13;39.2;82950000;1041;124
95;Turkmenistan;7a;65.0;6.6;47.8;3.98;39.1;5042000;8274;144
96;Namibia;4a;62.5;4.9;37.8;2.03;38.9;2283000;6475;47
97;Portugal;2e;79.5;4.9;48.0;4.12;38.7;10638000;25416;26
98;Kenya;4b;57.1;4.3;31.7;0.95;38.0;40513000;1651;107
99;Zambia;4a;49.0;5.3;31.0;0.84;37.7;12927000;1562;83
100;Ukraine;7c;68.5;5.1;42.3;3.19;37.6;45871000;6721;96
101;Sudan;4b;61.5;4.4;34.8;1.63;37.6;43552000;2256;147
102;Hong Kong;6b;82.8;5.6;54.9;5.81;37.5;7068000;46502;14
103;Belarus;7c;70.3;5.5;46.0;3.99;37.4;9490000;13929;126
104;Hungary;7b;74.4;4.7;44.1;3.59;37.4;10000000;20545;33
105;United States of America;2b;78.5;7.2;61.3;7.19;37.3;309349000;47153;21
106;Djibouti;4b;57.9;5.0;35.5;1.85;37.2;889000;2308;101
107;Belgium;2c;80.0;6.9;60.5;7.11;37.1;10896000;37631;18
108;Rwanda;4b;55.4;4.0;29.8;0.71;36.9;10624000;1163;69
109;Afghanistan;3b;48.7;4.8;29.0;0.54;36.8;34385000;1207;150
110;Denmark;2d;78.8;7.8;65.2;8.25;36.6;5547000;40163;2
111;Mauritius;4a;73.4;5.5;47.7;4.55;36.6;1281000;13697;34
112;Comoros;4a;61.1;3.9;32.4;1.30;36.5;735000;1096;127
113;Cote d'Ivoire;4c;55.4;4.2;30.5;0.99;35.9;19738000;1899;137
114;Mozambique;4a;50.2;4.7;29.4;0.78;35.7;23390000;942;71
115;Zimbabwe;4a;51.4;4.8;30.9;1.17;35.3;12571000;376;146
116;Liberia;4c;56.8;4.2;31.3;1.28;35.2;3994000;419;112
117;Estonia;7b;74.8;5.1;46.7;4.73;34.9;1340000;20663;25
118;Latvia;7b;73.3;4.7;43.1;3.95;34.9;2239000;16340;37
119;Kazakhstan;7a;67.0;5.5;43.8;4.14;34.7;16323000;12169;92
120;Lithuania;7b;72.2;5.1;44.7;4.38;34.6;3287000;18370;35
121;Congo;4a;57.4;3.8;30.0;1.08;34.5;4043000;4245;128
122;Russia;7c;68.8;5.5;44.7;4.40;34.5;141750000;19891;111
123;Bulgaria;7b;73.4;4.2;40.6;3.56;34.1;7534000;13931;49
124;Cameroon;4c;51.6;4.4;29.4;1.09;33.7;19599000;2294;119
125;Nigeria;4c;51.9;4.8;30.9;1.44;33.6;158423000;2399;135
126;Senegal;4c;59.3;3.8;31.0;1.53;33.3;12434000;1935;89
