54;Uzbekistan;7a;68,3;5,1;42,4;1,82;46,0;28Ê228Ê000 ; 3Ê106 ;142
55;Georgia;7a;73,7;4,1;40,1;1,43;46,0;4Ê452Ê000 ; 5Ê074 ;59
56;Saudi Arabia;3b;73,9;6,7;55,2;3,99;46,0;27Ê448Ê000 ; 22Ê713 ;74
57;Paraguay;1b;72,5;5,8;49,2;2,99;45,8;6Ê454Ê000 ; 5Ê181 ;105
58;Nepal;5a;68,8;3,8;35,9;0,76;45,6;29Ê959Ê000 ; 1Ê199 ;121
59;Cyprus;2e;79,6;6,4;57,4;4,44;45,5;1Ê103Ê000 ; 31Ê092 ;24
60;China;6a;73,5;4,7;43,1;2,13;44,7;1Ê338Ê300Ê000 ; 7Ê599 ;99
61;Myanmar;5a;65,2;5,3;41,6;1,94;44,2;47Ê963Ê000 ; 1Ê950 ;149
62;Spain;2e;81,4;6,2;57,4;4,74;44,1;46Ê071Ê000 ; 32Ê230 ;29
63;Korea;6b;80,6;6,1;56,4;4,62;43,8;48Ê875Ê000 ; 29Ê101 ;36
64;Bolivia;1b;66,6;5,8;44,9;2,61;43,6;9Ê929Ê000 ; 4Ê849 ;95
65;Canada;2b;81,0;7,7;66,3;6,43;43,6;34Ê126Ê000 ; 39Ê050 ;9
66;Malta;2e;79,6;5,8;53,6;4,26;43,1;416Ê000 ; 26Ê445 ;20
67;Netherlands;2c;80,7;7,5;65,1;6,34;43,1;16Ê616Ê000 ; 42Ê165 ;8
68;Yemen;3b;65,5;3,9;34,7;0,87;43,0;24Ê053Ê000 ; 2Ê653 ;138
69;Lebanon;3b;72,6;5,2;45,6;2,85;42,9;4Ê227Ê000 ; 14Ê069 ;104
70;Finland;2d;80,0;7,4;63,9;6,21;42,7;5Ê364Ê000 ; 36Ê473 ;1
71;Poland;7b;76,1;5,8;51,3;3,94;42,6;38Ê184Ê000 ; 19Ê885 ;31
72;Malawi;4a;54,2;5,1;33,9;0,78;42,5;14Ê901Ê000 ; 882 ;72
73;Ireland;2c;80,6;7,3;63,5;6,22;42,4;4Ê475Ê000 ; 40Ê464 ;13
74;Bosnia and Herzegovina;7b;75,7;4,7;44,5;2,74;42,4;3Ê760Ê000 ; 8Ê690 ;86
75;Romania;7b;74,0;4,9;44,9;2,84;42,2;21Ê438Ê000 ; 14Ê524 ;50
76;Australia;2a;81,9;7,4;65,5;6,68;42,0;22Ê299Ê000 ; 38Ê160 ;10
77;Iran;3b;73,0;4,8;43,5;2,66;41,7;73Ê973Ê000 ; 11Ê570 ;136
78;Haiti;1a;62,1;3,8;32,2;0,60;41,3;9Ê993Ê000 ; 1Ê111 ;133
79;Serbia;7b;74,5;4,5;42,6;2,57;41,3;7Ê291Ê000 ; 11Ê349 ;64
80;Azerbaijan;7a;70,7;4,2;39,1;1,97;40,9;9Ê054Ê000 ; 9Ê936 ;114
81;Libya;3a;74,8;4,9;45,4;3,19;40,8;6Ê355Ê000 ; 16Ê987 ;130
82;Croatia;7b;76,6;5,6;50,5;4,19;40,6;4Ê418Ê000 ; 19Ê543 ;44
83;Greece;2e;79,9;5,8;54,2;4,92;40,5;11Ê316Ê000 ; 28Ê408 ;45
84;Malaysia;6c;74,2;5,6;48,8;3,90;40,5;28Ê401Ê000 ; 14Ê731 ;46
85;Cambodia;6c;63,1;4,2;34,6;1,19;40,3;14Ê139Ê000 ; 2Ê194 ;115
86;Ghana;4c;64,2;4,6;37,4;1,74;40,3;24Ê392Ê000 ; 1Ê644 ;55
87;Slovenia;7b;79,3;6,1;55,3;5,21;40,2;2Ê049Ê000 ; 26Ê925 ;28
88;Iceland;2d;81,8;6,9;62,1;6,54;40,2;318Ê000 ; 35Ê642 ;16
89;Slovakia;7b;75,4;6,1;52,4;4,66;40,1;5Ê430Ê000 ; 23Ê303 ;32
90;Singapore;6b;81,1;6,5;59,4;6,10;39,8;5Ê077Ê000 ; 57Ê932 ;12
91;Egypt;3a;73,2;3,9;38,5;2,06;39,6;81Ê121Ê000 ; 6Ê180 ;98
92;Czech Republic;7b;77,7;6,2;54,6;5,27;39,4;10Ê520Ê000 ; 24Ê518 ;27
93;Uruguay;1c;77,0;6,1;53,6;5,08;39,3;3Ê357Ê000 ; 14Ê108 ;30
94;Ethiopia;4b;59,3;4,4;33,5;1,13;39,2;82Ê950Ê000 ; 1Ê041 ;124
95;Turkmenistan;7a;65,0;6,6;47,8;3,98;39,1;5Ê042Ê000 ; 8Ê274 ;144
96;Namibia;4a;62,5;4,9;37,8;2,03;38,9;2Ê283Ê000 ; 6Ê475 ;47
97;Portugal;2e;79,5;4,9;48,0;4,12;38,7;10Ê638Ê000 ; 25Ê416 ;26
98;Kenya;4b;57,1;4,3;31,7;0,95;38,0;40Ê513Ê000 ; 1Ê651 ;107
99;Zambia;4a;49,0;5,3;31,0;0,84;37,7;12Ê927Ê000 ; 1Ê562 ;83
100;Ukraine;7c;68,5;5,1;42,3;3,19;37,6;45Ê871Ê000 ; 6Ê721 ;96
101;Sudan;4b;61,5;4,4;34,8;1,63;37,6;43Ê552Ê000 ; 2Ê256 ;147
102;Hong Kong;6b;82,8;5,6;54,9;5,81;37,5;7Ê068Ê000 ; 46Ê502 ;14
103;Belarus;7c;70,3;5,5;46,0;3,99;37,4;9Ê490Ê000 ; 13Ê929 ;126
104;Hungary;7b;74,4;4,7;44,1;3,59;37,4;10Ê000Ê000 ; 20Ê545 ;33
105;United States of America;2b;78,5;7,2;61,3;7,19;37,3;309Ê349Ê000 ; 47Ê153 ;21
106;Djibouti;4b;57,9;5,0;35,5;1,85;37,2;889Ê000 ; 2Ê308 ;101
107;Belgium;2c;80,0;6,9;60,5;7,11;37,1;10Ê896Ê000 ; 37Ê631 ;18
108;Rwanda;4b;55,4;4,0;29,8;0,71;36,9;10Ê624Ê000 ; 1Ê163 ;69
109;Afghanistan;3b;48,7;4,8;29,0;0,54;36,8;34Ê385Ê000 ; 1Ê207 ;150
110;Denmark;2d;78,8;7,8;65,2;8,25;36,6;5Ê547Ê000 ; 40Ê163 ;2
111;Mauritius;4a;73,4;5,5;47,7;4,55;36,6;1Ê281Ê000 ; 13Ê697 ;34
112;Comoros;4a;61,1;3,9;32,4;1,30;36,5;735Ê000 ; 1Ê096 ;127
113;Cote d'Ivoire;4c;55,4;4,2;30,5;0,99;35,9;19Ê738Ê000 ; 1Ê899 ;137
114;Mozambique;4a;50,2;4,7;29,4;0,78;35,7;23Ê390Ê000 ; 942 ;71
115;Zimbabwe;4a;51,4;4,8;30,9;1,17;35,3;12Ê571Ê000 ; 376 ;146
116;Liberia;4c;56,8;4,2;31,3;1,28;35,2;3Ê994Ê000 ; 419 ;112
117;Estonia;7b;74,8;5,1;46,7;4,73;34,9;1Ê340Ê000 ; 20Ê663 ;25
118;Latvia;7b;73,3;4,7;43,1;3,95;34,9;2Ê239Ê000 ; 16Ê340 ;37
119;Kazakhstan;7a;67,0;5,5;43,8;4,14;34,7;16Ê323Ê000 ; 12Ê169 ;92
120;Lithuania;7b;72,2;5,1;44,7;4,38;34,6;3Ê287Ê000 ; 18Ê370 ;35
121;Congo;4a;57,4;3,8;30,0;1,08;34,5;4Ê043Ê000 ; 4Ê245 ;128
122;Russia;7c;68,8;5,5;44,7;4,40;34,5;141Ê750Ê000 ; 19Ê891 ;111
123;Bulgaria;7b;73,4;4,2;40,6;3,56;34,1;7Ê534Ê000 ; 13Ê931 ;49
124;Cameroon;4c;51,6;4,4;29,4;1,09;33,7;19Ê599Ê000 ; 2Ê294 ;119
125;Nigeria;4c;51,9;4,8;30,9;1,44;33,6;158Ê423Ê000 ; 2Ê399 ;135
126;Senegal;4c;59,3;3,8;31,0;1,53;33,3;12Ê434Ê000 ; 1Ê935 ;89
127;Angola;4a;51,1;4,2;28,2;0,89;33,2;19Ê082Ê000 ; 6Ê186 ;129
128;Mauritania;4c;58,6;5,0;35,8;2,86;32,3;3Ê460Ê000 ; 2Ê456 ;122
129;Burkina Faso;4c;55,4;4,0;29,9;1,53;31,8;16Ê468Ê000 ; 1Ê256 ;75
130;United Arab Emirates;3b;76,5;7,2;59,9;8,88;31,8;7Ê512Ê000 ; 47Ê213 ;43
131;Uganda;4b;54,1;4,2;29,8;1,57;31,5;33Ê424Ê000 ; 1Ê272 ;100
132;Benin;4c;56,1;3,7;28,6;1,36;31,1;8Ê850Ê000 ; 1Ê587 ;76
133;Tanzania;4b;58,2;3,2;27,7;1,19;30,7;44Ê841Ê000 ; 1Ê434 ;81
134;Congo, Dem. Rep. of the;4a;48,4;4,0;25,9;0,76;30,5;65Ê965Ê000 ; 347 ;148
135;Burundi;4b;50,4;3,8;26,2;0,85;30,5;8Ê382Ê000 ; 409 ;134
136;Trinidad and Tobago;1a;70,1;6,7;52,2;7,56;30,3;1Ê341Ê000 ; 25Ê739 ;54
137;Guinea;4c;54,1;4,0;29,2;1,72;30,0;9Ê982Ê000 ; 1Ê091 ;139
138;Luxembourg;2c;80,0;7,1;62,0;10,72;29,0;507Ê000 ; 86Ê124 ;5
139;Sierra Leone;4c;47,8;4,1;26,1;1,13;28,8;5Ê867Ê000 ; 827 ;106
140;Macedonia;7b;74,8;4,2;41,1;5,36;28,3;2Ê060Ê000 ; 11Ê162 ;62
141;Togo;4c;57,1;2,8;25,3;1,03;28,2;6Ê028Ê000 ; 998 ;120
142;South Africa;4a;52,8;4,7;31,0;2,59;28,2;49Ê991Ê000 ; 10Ê565 ;48
143;Kuwait;3b;74,6;6,6;54,9;9,72;27,1;2Ê736Ê000 ; 46Ê428 ;51
144;Niger;4c;54,7;4,1;29,8;2,59;26,8;15Ê512Ê000 ; 728 ;109
145;Mongolia;7a;68,5;4,6;39,8;5,53;26,8;2Ê756Ê000 ; 4Ê036 ;70
146;Bahrain;3b;75,1;4,5;43,5;6,65;26,6;1Ê262Ê000 ; 25Ê799 ;52
147;Mali;4c;51,4;3,8;26,6;1,86;26,0;15Ê370Ê000 ; 1Ê065 ;90
148;Central African Republic;4a;48,4;3,6;24,3;1,36;25,3;4Ê401Ê000 ; 789 ;141
149;Qatar;3b;78,4;6,6;57,7;11,68;25,2;1Ê759Ê000 ; 80Ê944 ;38
150;Chad;4b;49,6;3,7;25,6;1,89;24,7;11Ê227Ê000 ; 1Ê370 ;143
151;Botswana;4a;53,2;3,6;26,7;2,84;22,6;2Ê007Ê000 ; 13Ê893 ;39
